





#######################################
# Starting new log
# Date      : 2018-01-10 13:49:51.994 
# ThreadIDs : NO
# LogLevel  : FAL:INFO
#######################################
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ⨯ Slave Mode
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1522:getPlatformCapFW_All:      Unit Number: 2
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1523:getPlatformCapFW_All:  opmode3: 0x7f
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Channel Capture
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Capture Dump
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ cQuest cQLink
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Sampling Frequency
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ TX Board
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ RX Board
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ⨯ LVL 3P
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ LVL 5P
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ USB 2.0
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ⨯ USB 3.0
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1537:getPlatformCapFW_All:  opmode4: 0x01
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 1 to 1 Mux
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ✓ 3 to 1 Mux
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 4 to 1 Mux
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 2 to 1 Mux
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1545:getPlatformCapFW_All:  opmode5: 0x1c
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      1 Parallel Beam
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      2 Parallel Beams
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      4 Parallel Beams
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Embedded CPU
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Probe Sensing
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Firebird Mode
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1559:getPlatformCapFW_All:  opmode6: 0x7f
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ XML Config
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Scan Converter
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Color Maps
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Matlab
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ 2D Probe
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Scheduled Trigger
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Simulation Mode
2018-01-10 13:50:01.849 INF:FAL USPlatformMgr.cpp:1567:getPlatformCapFW_All:  ---------------Platform Capabilities End-------------
2018-01-10 13:50:01.952 INF:FAL USPlatformMgr.cpp:1062:_initPlatform:  System Configuration:2016-10-04-002003002999
2018-01-10 13:50:01.957 INF:FAL PlatformImplA2.cpp:967:resetHW:  resetHW...
2018-01-10 13:50:01.957 INF:FAL PlatformImplA2.cpp:996:_resetDiscreteComponents:  Resetting ADCs...
2018-01-10 13:50:01.958 INF:FAL PlatformImplA2.cpp:1028:_initTransports:  Initializing all transports...
2018-01-10 13:50:01.974 INF:FAL PlatformImplA2.cpp:1020:_readEncrSN:  Read value = 160421000069CSM9132DB215
2018-01-10 13:50:01.976 INF:FAL USPlatformMgr.cpp:1372:checkSignature:  License check succeeded!

2018-01-10 13:50:01.976 INF:FAL USPlatformMgr.cpp:848:discoverPlatforms:  slaves : 0
2018-01-10 13:50:01.976 INF:FAL USPlatformMgr.cpp:849:discoverPlatforms:  masters: 1
2018-01-10 13:50:01.977 INF:FAL USPlatformMgr.cpp:1134:_checkIELicense:  Checking for Image Enhancement License...
2018-01-10 13:50:01.988 ERR:FAL USPlatformMgr.cpp:1156:_checkIELicense:  IEDeviceLicenseSetup failed
2018-01-10 13:50:02.043 INF:FAL USEngine.cpp:215:stop:  stop
2018-01-10 13:50:02.044 INF:FAL USEngine.cpp:911:setBlocking:  setBlocking true
2018-01-10 13:50:02.056 INF:FAL PlatformImplA2.cpp:841:_setupParams:  PlatformImplA2::setupParams...
2018-01-10 13:50:02.060 INF:FAL cmd/SetProbeIndex.cpp:17:_updateScanDefConcrete:  updateScanDef - setting ProbeIndex to: 0
2018-01-10 13:50:02.062 INF:FAL cmd/SetClock.cpp:17:SetClock:  setting clock : 0, 0, 0, 1, 4e+07
2018-01-10 13:50:02.062 INF:FAL cmd/SetClock.cpp:17:SetClock:  setting clock : 1, 0, 0, 1, 4e+07
2018-01-10 13:50:02.114 INF:FAL cmd/AddFrame.cpp:487:_updateScanDefConcrete:  RX beams 64, TX beams 64
2018-01-10 13:50:02.170 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3120.88
2018-01-10 13:50:02.231 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:02.232 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:02.232 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:02.232 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:02.233 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:02.233 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:02.233 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:02.233 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:02.234 INF:FAL cmd/SetPRF.cpp:101:_updateSubFrameDefConcrete:  updateSubFrameDef - setting prf to: prf=0, repeatCnt=1
2018-01-10 13:50:02.234 INF:FAL cmd/SetTransmitVoltage.cpp:91:_updateFrameDefConcrete:  setting transmitVoltage to: 6
2018-01-10 13:50:02.234 WRN:FAL cmd/SetTransmitVoltage.cpp:19:_convertVoltsToInternalValueRailA:  Limiting voltage to allowed minimimum range 40
2018-01-10 13:50:02.234 INF:FAL cmd/SetTGC.cpp:73:_updateFrameDefConcrete:  Brightness is not set yet. Skipping index check (will be performed in SetBrightness instead)
2018-01-10 13:50:02.234 INF:FAL cmd/SetTGC.cpp:93:_updateFrameDefConcrete:  DynamicRange is not set yet. Skipping index check (will be performed in SetDynamicRange instead)
2018-01-10 13:50:02.234 INF:FAL cmd/SetATGC.cpp:13:_updateFrameDefConcrete:  updateFrameDef - setting atgc
2018-01-10 13:50:02.234 INF:FAL cmd/SetDTGC.cpp:12:_updateFrameDefConcrete:  updateFrameDef - setting dtgc
2018-01-10 13:50:02.235 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:02.235 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:02.235 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:02.235 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:02.236 INF:FAL cmd/SetLNA.cpp:110:_updateScanDefConcrete:  Setting LNA gain to 18.5
2018-01-10 13:50:02.236 INF:FAL cmd/SetLNA.cpp:112:_updateScanDefConcrete:  Setting LNA input impedance to 200
2018-01-10 13:50:02.236 INF:FAL cmd/SetAAF.cpp:29:_updateScanDefConcrete:  Setting AAF freq to 1.5e+07
2018-01-10 13:50:02.236 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3120.88
2018-01-10 13:50:02.236 INF:FAL cmd/SetDecimFiltBypass.cpp:40:_updateScanDefConcrete:  Setting DecimFilt bypass to 1
2018-01-10 13:50:02.236 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3117.88
2018-01-10 13:50:02.236 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:02.236 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:02.236 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:02.236 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:02.237 INF:FAL cmd/SetDecimFiltDecimation.cpp:59:_updateScanDefConcrete:  Setting DecimFilt decimation to 1
2018-01-10 13:50:02.238 INF:FAL cmd/SetTimeout.cpp:15:_updateScanDefConcrete:  Setting Timeout to 500 setting enable timeout to 1
2018-01-10 13:50:02.238 INF:FAL cmd/SetHPF.cpp:24:_updateScanDefConcrete:  Setting HPF freq to 898000
2018-01-10 13:50:02.238 INF:FAL cmd/SetHPF.cpp:27:_updateScanDefConcrete:  Setting HPF bypass to 0
2018-01-10 13:50:02.238 INF:FAL USEngine.cpp:107:setScanDef:  setScanDef
2018-01-10 13:50:02.238 INF:FAL USEngine.cpp:139:setScanDef:  Using probe-based initialization...
2018-01-10 13:50:02.256 INF:FAL PlatformImplA2.cpp:967:resetHW:  resetHW...
2018-01-10 13:50:02.256 INF:FAL PlatformImplA2.cpp:996:_resetDiscreteComponents:  Resetting ADCs...
2018-01-10 13:50:02.258 INF:FAL PlatformImplA2.cpp:1028:_initTransports:  Initializing all transports...
2018-01-10 13:50:02.260 INF:FAL USEngine.cpp:1133:_initialize:  initial programming unit #2 (master)
2018-01-10 13:50:02.261 INF:FAL USEngine.cpp:1703:_calibrateTransfers:  calibrate transfers
2018-01-10 13:50:02.305 INF:FAL US_USMidProc.cpp:571:_programWFCoeffs:  Bypassing 3rd IIR
2018-01-10 13:50:02.305 INF:FAL US_USMidProc.cpp:581:_programWFCoeffs:  Bypassing 4th IIR
2018-01-10 13:50:02.306 INF:FAL US_USMidProc.cpp:146:_program:  Programming US MidProc Wall Filter Control to 4301
2018-01-10 13:50:02.306 INF:FAL US_USMidProc.cpp:173:_program:  Changing CFM dir
2018-01-10 13:50:03.250 INF:FAL USEngine.cpp:308:run:  run
2018-01-10 13:50:05.250 INF:FAL cmd/GetTransmitVoltage.cpp:36:_updateFrameDefConcrete:  updateFrameDef - retrieving TransmitVoltage :6
2018-01-10 13:50:05.251 INF:FAL USEngine.cpp:264:start:  start
2018-01-10 13:50:05.252 INF:FAL USEngine.cpp:1008:_start:  starting unit #2 (master)
2018-01-10 13:50:10.203 INF:FAL USEngine.cpp:215:stop:  stop
2018-01-10 13:50:10.204 INF:FAL USEngine.cpp:1215:_stopHW:  stopping HW on unit #2 (master)
2018-01-10 13:50:11.332 INF:FAL USEngine.cpp:177:tearDown:  tearDown
2018-01-10 13:50:11.332 INF:FAL USEngine.cpp:991:_tearDown:  tearing down unit #2 (master)






#######################################
# Starting new log
# Date      : 2018-01-10 13:50:25.310 
# ThreadIDs : NO
# LogLevel  : FAL:INFO
#######################################
2018-01-10 13:50:28.458 INF:FAL USPlatformMgr.cpp:1399:getPlatformCapFW_All:  Serial Number:123456789012CSK9130A4423
2018-01-10 13:50:28.460 INF:FAL USPlatformMgr.cpp:1410:getPlatformCapFW_All:  System Configuration:2016-10-04-002003002999
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1435:getPlatformCapFW_All:  ---------------Platform Capabilities-----------------
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1436:getPlatformCapFW_All:  version_major:1
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1437:getPlatformCapFW_All:  version_minor:4
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1449:getPlatformCapFW_All:  Software System Capabilities
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1450:getPlatformCapFW_All:  Mux Board: 
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1462:getPlatformCapFW_All:      Mux 260
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1496:getPlatformCapFW_All:  opmode0: 0x40
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1500:getPlatformCapFW_All:      ⨯ 16 Max Channels
2018-01-10 13:50:28.461 INF:FAL USPlatformMgr.cpp:1501:getPlatformCapFW_All:      ⨯ 32 Max Channels
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1502:getPlatformCapFW_All:      ✓ 64 Max Channels
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1503:getPlatformCapFW_All:  opmode1: 0x3f [00000000000000000000000000111111]
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ B-Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Power Doppler Imaging
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Pulsed Wave Doppler
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Color Flow Mapping
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Tissue Harmonic Imaging
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ M-Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1511:getPlatformCapFW_All:  opmode2: 0x2f [00000000000000000000000000101111]
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ PCIE
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ SW-Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ HW-Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ Master Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ⨯ Slave Mode
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1522:getPlatformCapFW_All:      Unit Number: 2
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1523:getPlatformCapFW_All:  opmode3: 0x7f
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Channel Capture
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Capture Dump
2018-01-10 13:50:28.462 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ cQuest cQLink
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ Sampling Frequency
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ TX Board
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ RX Board
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ⨯ LVL 3P
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ LVL 5P
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ✓ USB 2.0
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1536:getPlatformCapFW_All:      ⨯ USB 3.0
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1537:getPlatformCapFW_All:  opmode4: 0x01
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 1 to 1 Mux
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ✓ 3 to 1 Mux
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 4 to 1 Mux
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1544:getPlatformCapFW_All:      ⨯ 2 to 1 Mux
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1545:getPlatformCapFW_All:  opmode5: 0x1c
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      1 Parallel Beam
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      2 Parallel Beams
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      4 Parallel Beams
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Embedded CPU
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Probe Sensing
2018-01-10 13:50:28.463 INF:FAL USPlatformMgr.cpp:1558:getPlatformCapFW_All:      ✓ Firebird Mode
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1559:getPlatformCapFW_All:  opmode6: 0x7f
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ XML Config
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Scan Converter
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Color Maps
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Matlab
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ 2D Probe
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Scheduled Trigger
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1566:getPlatformCapFW_All:      ✓ Simulation Mode
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1567:getPlatformCapFW_All:  ---------------Platform Capabilities End-------------
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1885:bitfileDownload:  skipping bitfile download, bitfile is already loaded
2018-01-10 13:50:28.464 INF:FAL USPlatformMgr.cpp:1062:_initPlatform:  System Configuration:2016-10-04-002003002999
2018-01-10 13:50:28.469 INF:FAL PlatformImplA2.cpp:967:resetHW:  resetHW...
2018-01-10 13:50:28.469 INF:FAL PlatformImplA2.cpp:996:_resetDiscreteComponents:  Resetting ADCs...
2018-01-10 13:50:28.471 INF:FAL PlatformImplA2.cpp:1028:_initTransports:  Initializing all transports...
2018-01-10 13:50:28.487 INF:FAL PlatformImplA2.cpp:1020:_readEncrSN:  Read value = 160421000069CSM9132DB215
2018-01-10 13:50:28.488 INF:FAL USPlatformMgr.cpp:1372:checkSignature:  License check succeeded!

2018-01-10 13:50:28.488 INF:FAL USPlatformMgr.cpp:848:discoverPlatforms:  slaves : 0
2018-01-10 13:50:28.488 INF:FAL USPlatformMgr.cpp:849:discoverPlatforms:  masters: 1
2018-01-10 13:50:28.489 INF:FAL USPlatformMgr.cpp:1134:_checkIELicense:  Checking for Image Enhancement License...
2018-01-10 13:50:28.492 ERR:FAL USPlatformMgr.cpp:1156:_checkIELicense:  IEDeviceLicenseSetup failed
2018-01-10 13:50:28.595 INF:FAL USEngine.cpp:215:stop:  stop
2018-01-10 13:50:28.595 INF:FAL USEngine.cpp:911:setBlocking:  setBlocking true
2018-01-10 13:50:28.605 INF:FAL PlatformImplA2.cpp:841:_setupParams:  PlatformImplA2::setupParams...
2018-01-10 13:50:28.605 INF:FAL cmd/SetProbeIndex.cpp:17:_updateScanDefConcrete:  updateScanDef - setting ProbeIndex to: 0
2018-01-10 13:50:28.605 INF:FAL cmd/SetClock.cpp:17:SetClock:  setting clock : 0, 0, 0, 1, 4e+07
2018-01-10 13:50:28.605 INF:FAL cmd/SetClock.cpp:17:SetClock:  setting clock : 1, 0, 0, 1, 4e+07
2018-01-10 13:50:28.671 INF:FAL cmd/AddFrame.cpp:487:_updateScanDefConcrete:  RX beams 64, TX beams 64
2018-01-10 13:50:28.732 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3120.88
2018-01-10 13:50:28.803 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:28.804 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:28.804 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:28.804 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:28.805 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:28.805 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:28.805 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:28.805 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:28.806 INF:FAL cmd/SetPRF.cpp:101:_updateSubFrameDefConcrete:  updateSubFrameDef - setting prf to: prf=0, repeatCnt=1
2018-01-10 13:50:28.807 INF:FAL cmd/SetTransmitVoltage.cpp:91:_updateFrameDefConcrete:  setting transmitVoltage to: 6
2018-01-10 13:50:28.807 WRN:FAL cmd/SetTransmitVoltage.cpp:19:_convertVoltsToInternalValueRailA:  Limiting voltage to allowed minimimum range 40
2018-01-10 13:50:28.807 INF:FAL cmd/SetTGC.cpp:73:_updateFrameDefConcrete:  Brightness is not set yet. Skipping index check (will be performed in SetBrightness instead)
2018-01-10 13:50:28.807 INF:FAL cmd/SetTGC.cpp:93:_updateFrameDefConcrete:  DynamicRange is not set yet. Skipping index check (will be performed in SetDynamicRange instead)
2018-01-10 13:50:28.807 INF:FAL cmd/SetATGC.cpp:13:_updateFrameDefConcrete:  updateFrameDef - setting atgc
2018-01-10 13:50:28.807 INF:FAL cmd/SetDTGC.cpp:12:_updateFrameDefConcrete:  updateFrameDef - setting dtgc
2018-01-10 13:50:28.807 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:28.807 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
